species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
1129,139938,4,3.24,1,49,2,197,15912.622222222222,0,-0.2400000000000002,-0.42857142857142855,21.180385487528355
1129,139938,5,3.24,1,44,2,176,16950.46111111111,-2,-3.24,-0.11363636363636363,21.251736111111065
1129,140059,1,2.25,1,55,3,227,16311.395625,0,1.75,0.21818181818181817,18.470190656565716
1129,140059,2,4.0,1,54,3,239,17327.256111111114,0,4.0,-0.5370370370370371,-22.93919238683133
1129,140059,3,8.41,1,52,3,210,16088.539722222222,-3,-8.41,-0.25,-3.3830288461538376
1129,140064,1,1.0,1,55,3,227,16311.395625,0,1.0,0.21818181818181817,18.470190656565716
1129,140064,2,2.25,1,54,3,239,17327.256111111114,0,1.75,-0.5370370370370371,-22.93919238683133
1129,140064,3,4.0,1,52,3,210,16088.539722222222,-1,1.0,-0.25,-3.3830288461538376
1129,140064,4,5.289999999999999,1,49,2,197,15912.622222222222,0,0.7100000000000009,-0.42857142857142855,21.180385487528355
1129,140064,5,6.25,1,44,2,176,16950.46111111111,1,0.75,-0.11363636363636363,21.251736111111065
1129,140064,6,7.839999999999999,1,47,3,171,17885.5375,1,4.160000000000001,0.2553191489361702,-137.89273823877065
1129,140064,7,12.25,1,61,4,183,11404.578802777778,0,14.75,-0.2459016393442623,32.3399148907104
1129,348292,6,2.5600000000000005,1,47,3,171,17885.5375,1,18.439999999999998,0.2553191489361702,-137.89273823877065
1129,348292,7,21.159999999999997,1,61,4,183,11404.578802777778,0,10.840000000000003,-0.2459016393442623,32.3399148907104
1129,354932,6,1.44,1,47,3,171,17885.5375,1,2.56,0.2553191489361702,-137.89273823877065
1129,354932,7,4.0,1,61,4,183,11404.578802777778,0,0.0,-0.2459016393442623,32.3399148907104
1129,466309,7,1.9599999999999997,1,61,4,183,11404.578802777778,0,0.04000000000000026,-0.2459016393442623,32.3399148907104
508,139934,1,2.25,3,55,2,227,16311.395625,1,-0.25,0.21818181818181817,18.470190656565716
508,139934,2,2.25,3,54,3,239,17327.256111111114,1,0.75,-0.5370370370370371,-22.93919238683133
508,139934,3,3.24,3,52,4,210,16088.539722222222,-4,-3.24,-0.25,-3.3830288461538376
508,140032,1,2.25,3,55,2,227,16311.395625,1,-0.25,0.21818181818181817,18.470190656565716
508,140032,2,2.25,3,54,3,239,17327.256111111114,1,-0.25,-0.5370370370370371,-22.93919238683133
508,140032,3,2.1025,3,52,4,210,16088.539722222222,-4,-2.1025,-0.25,-3.3830288461538376
508,249768,2,1.0,3,54,3,239,17327.256111111114,1,1.0,-0.5370370370370371,-22.93919238683133
508,249768,3,2.25,3,52,4,210,16088.539722222222,-2,-0.25,-0.25,-3.3830288461538376
508,285632,3,1.44,3,52,4,210,16088.539722222222,-2,-0.43999999999999995,-0.25,-3.3830288461538376
508,466271,7,19.360000000000003,3,61,1,183,11404.578802777778,0,27.639999999999997,-0.2459016393442623,32.3399148907104
511,140027,1,2.25,3,55,3,227,16311.395625,-3,-2.25,0.21818181818181817,18.470190656565716
511,140081,1,6.25,3,55,3,227,16311.395625,-2,2.75,0.21818181818181817,18.470190656565716
511,140081,2,9.0,3,54,1,239,17327.256111111114,0,3.0,-0.5370370370370371,-22.93919238683133
